seed,alpha,N,method,id_feasible,sX,id_time,n_var,coverage_train,coverage_x1,encl_x1,coverage_x2,encl_x2,coverage_x3,encl_x3,src_state,src_input,src_additive,repr_gap,center_err,muA_mass,muB_mass,muw_mass,lambda_min,gamma
3359,3.0,10,ICM-noSI,True,0.031780313048084326,0.08470648200000142,253,1.0,0.1,0.05106818830232597,0.025,0.05106818855272499,0.0,0.05106818880312401,2.50399023122928e-10,1.482039690056182e-10,0.05106818790372297,3.542249992214329,0.04110971405083354,1.0816428869639572e-08,1.0117814612260486e-08,0.6383523487965371,0.03125,8.0
3359,3.0,10,ICM,True,0.035837454338921444,0.132815538000159,433,1.0,0.325,0.05544586412321804,0.25,0.05544588378823674,0.125,0.05544590345325543,1.966501869332332e-08,6.121333230459302e-10,0.055445843846066024,2.1013734400267254,0.03991250729255391,4.15402863833909e-07,3.599080228123962e-08,0.6930730480758253,0.01171875,8.0
3376,3.0,10,DCM,True,0.02713020154531362,0.05549844799998027,55,1.0,0.15,0.05190878193763172,0.0,0.05190878193763172,0.0,0.05190878193763172,0.0,0.0,0.05190878193763172,4.912163112494531,0.03709920226665871,0.0,0.0,0.6488597742203965,0.0234375,8.0
3376,3.0,10,ICM-noSI,True,0.026666666624918237,0.08420185799968749,253,1.0,0.15,0.05192038241220216,0.0,0.05192038281971414,0.0,0.05192038322722612,4.0751197739698586e-10,0.0002787688463964113,0.05164161315829378,4.912162880066403,0.03709920286683216,9.641421013952933e-09,0.0072938928690479835,0.6455201644786722,0.0234375,8.0
3376,3.0,10,ICM,True,0.030621119520215376,0.12696694600026603,433,1.0,0.25,0.06094714052770313,0.15,0.060947140604472406,0.05,0.0609471406812417,7.676928364005913e-11,8.820550138757005e-10,0.06094713956887883,2.223573670355316,0.02768352009933861,2.0049354451047105e-09,2.401308912759245e-08,0.7618392446109854,0.03125,8.0
3393,3.0,10,DCM,True,0.025885352817586596,0.06287040999995952,55,1.0,0.0,0.04814074653463526,0.0,0.04814074653463526,0.025,0.04814074653463526,0.0,0.0,0.04814074653463526,12.42154698072915,0.15870421111279429,0.0,0.0,0.6017593316829408,0.03125,8.0
3393,3.0,10,ICM-noSI,True,0.025885352896621944,0.08449803900020925,253,1.0,0.0,0.04814074643004292,0.0,0.048140746457010775,0.025,0.048140746483978626,2.6967849578129846e-11,1.5057168518918895e-11,0.0481407463880179,11.801735009325377,0.14988705373878697,1.1456965614703994e-09,1.1515482084334542e-09,0.6017593298502238,0.02734375,8.0
3393,3.0,10,ICM,True,0.02588535289812442,0.13460816600036196,433,1.0,0.15,0.0669031478329927,0.075,0.06690314818211676,0.05,0.0669031485312408,3.491240511852333e-10,0.006444091073716418,0.060459056410152236,3.1929671566424545,0.04026287762942993,6.581728774433075e-09,0.1708730321699999,0.7557382051269028,0.05078125,8.0
4070,4.0,10,DCM,True,0.03999098181146709,0.05136085800040746,55,1.0,0.025,0.059207720269401756,0.0,0.059207720269401756,0.0,0.059207720269401756,0.0,0.0,0.059207720269401756,9.395469107044532,0.07892931441987937,0.0,0.0,0.740096503367522,0.0546875,8.0
4070,4.0,10,ICM-noSI,True,0.03999098118330977,0.09474578199979078,253,1.0,0.0,0.059207720847746635,0.0,0.05920772223084771,0.0,0.05920772361394881,1.383101090811858e-09,3.635892702844973e-10,0.059207719101056266,9.39546916134144,0.0789293130342606,3.090468088084561e-08,2.137909547676941e-08,0.7400964887632033,0.046875,8.0
